"postcode","pc_numeric","pc_character","city","suburb","latitude","longitude","asking_price","offered_since","living_area","available_now","type_build","volume","nr_rooms","build_year","bedrooms","bathrooms","alarm","jacuzzi","sauna","bath"
"3112 AA","3112"," AA","Schiedam","Rotterdamsedijk",51.91395,4.411872,89500,"2 months",66,0,"Existing",185,3,"1951",2,1,0,0,0,0
"3028 BW","3028"," BW","Rotterdam","Oud-Mathenesse",51.9145,4.41726,75000,"2 months",60,0,"Existing",180,3,"1950",2,1,0,0,0,0
"3039 XM","3039"," XM","Rotterdam","Blijdorp",51.92686,4.458871,238000,"2 months",110,0,"Existing",300,4,"1939",3,1,0,0,0,0
"3112 MA","3112"," MA","Schiedam","Newtonbuurt",51.91765,4.411336,109000,"2 months",55,0,"Existing",160,3,"1935",2,1,0,0,0,0
"2907 MG","2907"," MG","Capelle aan den IJssel","Kunstenaarsbuurt",51.95222,4.585006,119000,"2 months",76,0,"Existing",200,3,"1984",2,1,0,0,0,0
"3061 GH","3061"," GH","Rotterdam","Kralingen-West",51.92907,4.508398,310000,"2 months",120,0,"Existing",350,3,"1923",2,1,0,0,0,1
"3072 LP","3072"," LP","Rotterdam","Katendrecht",51.89999,4.479936,250000,"2 months",109,0,"Existing",400,5,"1903",2,1,0,0,0,1
"3028 VT","3028"," VT","Rotterdam","Oud-Mathenesse",51.91946,4.421123,90000,"2 months",55,0,"Existing",150,3,"1950",2,1,0,0,0,1
"2907 WE","2907"," WE","Capelle aan den IJssel","Gebouwenbuurt",51.95089,4.594669,125000,"3 months",80,0,"Existing",237,3,"1980",2,1,0,0,0,0
"3117 AC","3117"," AC","Schiedam","Fabribuurt",51.91667,4.392698,1e+05,"3 months",90,0,"Existing",250,2,"1931",2,1,0,0,0,0
"3051 AT","3051"," AT","Rotterdam","Hillegersberg-Zuid",51.94688,4.485552,8e+05,"3 months",348,0,"Existing",1302,4,"1921",3,1,0,0,0,1
"3111 PD","3111"," PD","Schiedam","Brandersbuurt",51.92015,4.396744,149500,"3 months",75,0,"Existing",200,3,"2001",2,1,0,0,0,0
"2905 TZ","2905"," TZ","Capelle aan den IJssel","Wormerhoek",51.94351,4.603913,249000,"6+ months",120,0,"Existing",324,4,"2011",3,1,0,0,0,1
"3053 EZ","3053"," EZ","Rotterdam","Schiebroek",51.96034,4.471918,159500,"3 months",66,0,"Existing",200,3,"1993",2,1,0,0,0,0
"2907 MA","2907"," MA","Capelle aan den IJssel","Kunstenaarsbuurt",51.95279,4.585103,115000,"3 months",67,0,"Existing",214,3,"1983",2,1,0,0,0,1
"3112 XK","3112"," XK","Schiedam","Rotterdamsedijk",51.91551,4.414045,89500,"4 months",90,0,"Existing",245,3,"1933",1,1,0,0,0,1
"2905 TZ","2905"," TZ","Capelle aan den IJssel","Wormerhoek",51.94351,4.603913,242000,"6+ months",109,0,"Existing",294,4,"2011",3,1,0,0,0,1
"3114 CN","3114"," CN","Schiedam","Noletbuurt",51.90806,4.402141,159000,"4 months",95,0,"Existing",290,3,"1988",2,1,0,0,0,1
"2651 GM","2651"," GM","Berkel en Rodenrijs","Oranjebuurt",51.99962,4.484993,289500,"<1 week",145,0,"Existing",410,7,"1963",5,1,0,0,0,1
"2906 XA","2906"," XA","Capelle aan den IJssel","Akker- en Haagwinde",51.9301,4.56571,125000,"4 months",70,0,"Existing",200,2,"1970",1,1,0,0,0,0
"2651 GW","2651"," GW","Berkel en Rodenrijs","Sterrenbuurt",52.00364,4.485509,207500,"<1 week",114,0,"Existing",280,6,"1973",4,1,0,0,0,1
"3343 CP","3343"," CP","Hendrik-Ido-Ambacht","Krommeweg-Zuid",51.8366,4.6283,149500,"6+ months",71,0,"Existing",217,3,"1980",2,1,0,0,0,0
"3344 PD","3344"," PD","Hendrik-Ido-Ambacht","Volgerlanden-West",51.83564,4.642667,195000,"6+ months",88,0,"Existing",316,3,"2010",2,2,0,0,0,0
"2651 VA","2651"," VA","Berkel en Rodenrijs","Componistenbuurt",52.00064,4.492746,225000,"<1 week",144,0,"Existing",476,5,"1972",3,1,0,0,0,1
"3083 ZE","3083"," ZE","Rotterdam","Carnisse",51.88726,4.473648,94500,"6+ months",85,0,"Existing",260,3,"1947",2,1,0,0,0,1
"3059 XT","3059"," XT","Rotterdam","Nesselande",51.98634,4.58347,3e+05,"6+ months",105,0,"Existing",295,4,"2008",3,1,0,0,0,1
"3112 AK","3112"," AK","Schiedam","Rotterdamsedijk",51.91428,4.408586,99000,"6+ months",70,0,"Existing",190,3,"1950",2,1,0,0,0,0
"2665 ES","2665"," ES","Bleiswijk","Vogelbuurt",52.00653,4.539457,250000,"<1 week",120,0,"Existing",408,5,"1972",4,1,0,0,0,1
"2987 VW","2987"," VW","Ridderkerk","Bolnes",51.88799,4.580306,126500,"6+ months",64,0,"Existing",180,2,"1977",1,1,0,0,0,1
"3117 XR","3117"," XR","Schiedam","Schildersbuurt",51.91442,4.383625,110000,"6+ months",53,0,"Existing",148,3,"1930",2,1,0,0,0,0
"3053 GA","3053"," GA","Rotterdam","Schiebroek",51.95923,4.474197,109500,"6+ months",70,0,"Existing",190,3,"1958",2,1,0,0,0,0
"3053 GA","3053"," GA","Rotterdam","Schiebroek",51.95923,4.474197,125000,"6+ months",70,0,"Existing",190,4,"1958",3,1,0,0,0,0
"3067 PR","3067"," PR","Rotterdam","Oosterflank",51.9429,4.55972,129500,"6+ months",96,0,"Existing",240,3,"1980",2,1,0,0,0,0
"2904 PA","2904"," PA","Capelle aan den IJssel","Paradijssel",51.92888,4.611676,319000,"<1 week",170,0,"Existing",500,4,"1999",3,2,0,0,0,1
"3112 VS","3112"," VS","Schiedam","Stationsbuurt",51.9201,4.41086,117000,"6+ months",80,0,"Existing",200,3,"1986",2,1,0,0,0,0
