alias_name,country_code_std,country_name_std,phone_code,comment
antigua and barbuda,AG,,,
british honduras,BZ,,,
british virgin isles,VG,,,
burma,MM,,,
byelorussia,BY,,,
cape verde,CV,,,
cape verde islands,CV,,,
ceylon,LK,,,
comorro islands,KM,,,
congo brazzaville,CG,,,
congo kinshasa,CD,,,
curacao,CW,,,
curaçao,CW,,,
czechoslovakia,CZ,,,
dahomey,BJ,,,
democratic people s republic of korea,KP,,,
democratic republic of congo,CD,,,
drc,CD,,,
east timor,TL,,,
faeroes,FO,,,
falkland islands,FK,,,
falklands malvinas,FK,,,
faroe islands,FO,,,
fyrom,MK,,,
germany ddr,DE,,,
germany frg,DE,,,
great britain,GB,,,
greenland,GL,,,
holland,NL,,,
ivory coast,CI,,,
kampuchea,KH,,,
lao pdr,LA,,,
macedonia,MK,,,
malagasy,MG,,,
malaya,MY,,,
maldive islands,MV,,,
marianas,MP,,,
moldavia,MD,,,
netherlands antilles,CW,,,
north korea,KP,,,
north yemen,YE,,,
parguay,PY,,,
persia,IR,,,
republic of congo,CG,,,
republic of korea,KR,,,
rhodesia,ZW,,,
saint helena,SH,,,
saint kitts and nevis,KN,,,
saint lucia,LC,,,
saint martin (dutch part),SX,,,
saint martin (french part),MF,,,
saint vincent and the grenadines,VC,,,
siam,TH,,,
soloman islands,SB,,,
south korea,KR,,,
south yemen,YE,,,
soviet union,RU,,,
st helena,SH,,,
st kitts and nevis,KN,,,
st kitts nevis,KN,,,
st lucia,LC,,,
st maarten,SX,,,
st vincent,VC,,,
st vincent and the grenadines,VC,,,
st. maarten,SX,,,
swaziland,SZ,,,
the congo,CG,,,
trinidad and tobago,TT,,,
trinidad tobago,TT,,,
turkey,TR,,,
turks cocos islands,TC,,,
u k,GB,,,
u s a,US,,,
uae,AE,,,
uk,GB,,,
united states of america,US,,,
upper volta,BF,,,
us virgin isles,VI,,,
usa,US,,,
ussr,RU,,,
western samoa,WS,,,
yugoslavia,RS,,,
zaire,CD,,,
