game,medal_type,country_name,game_location,game_season,game_year
athens-1896,GOLD,Australia,Greece,Summer,1896
athens-1896,GOLD,Australia,Greece,Summer,1896
athens-1896,BRONZE,Austria,Greece,Summer,1896
athens-1896,GOLD,Austria,Greece,Summer,1896
athens-1896,BRONZE,Austria,Greece,Summer,1896
athens-1896,GOLD,Austria,Greece,Summer,1896
athens-1896,SILVER,Austria,Greece,Summer,1896
athens-1896,BRONZE,Denmark,Greece,Summer,1896
athens-1896,BRONZE,Denmark,Greece,Summer,1896
athens-1896,SILVER,Denmark,Greece,Summer,1896
athens-1896,BRONZE,Denmark,Greece,Summer,1896
athens-1896,SILVER,Denmark,Greece,Summer,1896
athens-1896,GOLD,Denmark,Greece,Summer,1896
athens-1896,GOLD,France,Greece,Summer,1896
athens-1896,SILVER,France,Greece,Summer,1896
athens-1896,SILVER,France,Greece,Summer,1896
athens-1896,BRONZE,France,Greece,Summer,1896
athens-1896,SILVER,France,Greece,Summer,1896
athens-1896,GOLD,France,Greece,Summer,1896
athens-1896,SILVER,France,Greece,Summer,1896
athens-1896,GOLD,France,Greece,Summer,1896
athens-1896,GOLD,France,Greece,Summer,1896
athens-1896,BRONZE,France,Greece,Summer,1896
athens-1896,GOLD,France,Greece,Summer,1896
athens-1896,SILVER,Germany,Greece,Summer,1896
athens-1896,BRONZE,Germany,Greece,Summer,1896
athens-1896,SILVER,Germany,Greece,Summer,1896
athens-1896,GOLD,Germany,Greece,Summer,1896
athens-1896,BRONZE,Germany,Greece,Summer,1896
athens-1896,GOLD,Germany,Greece,Summer,1896
athens-1896,SILVER,Germany,Greece,Summer,1896
athens-1896,GOLD,Germany,Greece,Summer,1896
athens-1896,GOLD,Germany,Greece,Summer,1896
athens-1896,GOLD,Germany,Greece,Summer,1896
athens-1896,SILVER,Germany,Greece,Summer,1896
athens-1896,SILVER,Germany,Greece,Summer,1896
athens-1896,GOLD,Germany,Greece,Summer,1896
athens-1896,BRONZE,Greece,Greece,Summer,1896
athens-1896,GOLD,Greece,Greece,Summer,1896
athens-1896,SILVER,Greece,Greece,Summer,1896
athens-1896,GOLD,Greece,Greece,Summer,1896
athens-1896,GOLD,Greece,Greece,Summer,1896
athens-1896,SILVER,Greece,Greece,Summer,1896
athens-1896,SILVER,Greece,Greece,Summer,1896
athens-1896,BRONZE,Greece,Greece,Summer,1896
athens-1896,SILVER,Greece,Greece,Summer,1896
athens-1896,BRONZE,Greece,Greece,Summer,1896
athens-1896,BRONZE,Greece,Greece,Summer,1896
athens-1896,BRONZE,Greece,Greece,Summer,1896
athens-1896,BRONZE,Greece,Greece,Summer,1896
athens-1896,GOLD,Greece,Greece,Summer,1896
athens-1896,SILVER,Greece,Greece,Summer,1896
athens-1896,GOLD,Greece,Greece,Summer,1896
athens-1896,BRONZE,Greece,Greece,Summer,1896
athens-1896,SILVER,Greece,Greece,Summer,1896
