game,game_season,game_year,game_location,country_name,country_code,continent,language,religion,landmass,population,gdp,flag_nr_colors,flag_mainhue,flag_topleft_color,flag_botright_color,gold,silver,bronze
squaw-valley-1960,Winter,1960,United States,Austria,AUT,84,German,Christian,Europe,7047274,6650133914.54795,2,red,red,red,1,2,3
squaw-valley-1960,Winter,1960,United States,Canada,CAN,9976,English,Christian,N.America,17898792,40563768946.9503,2,red,red,red,2,1,1
squaw-valley-1960,Winter,1960,United States,Czechoslovakia,NA,128,Other,Other,Europe,NA,NA,3,white,white,red,0,1,0
squaw-valley-1960,Winter,1960,United States,Finland,FIN,337,Other,Christian,Europe,4429631,5279011362.12721,2,white,white,white,2,3,3
squaw-valley-1960,Winter,1960,United States,France,FRA,547,French,Christian,Europe,46428136,62225478000.8822,3,white,blue,red,1,0,2
squaw-valley-1960,Winter,1960,United States,Germany,DEU,NA,NA,NA,NA,72811637,84310950194.1152,NA,NA,NA,NA,4,3,1
squaw-valley-1960,Winter,1960,United States,Italy,ITA,301,Other,Christian,Europe,49514555,41915814947.7905,3,white,green,red,0,0,1
squaw-valley-1960,Winter,1960,United States,Netherlands,NLD,41,Other,Christian,Europe,11486909,13263458995.3869,3,red,red,blue,0,1,1
squaw-valley-1960,Winter,1960,United States,Norway,NOR,324,Other,Christian,Europe,3581119,5197398721.41367,3,red,red,red,3,3,0
squaw-valley-1960,Winter,1960,United States,Poland,POL,313,Other,Other,Europe,29575967,NA,2,white,white,red,0,1,1
squaw-valley-1960,Winter,1960,United States,Soviet Union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,9
squaw-valley-1960,Winter,1960,United States,Sweden,SWE,450,Other,Christian,Europe,7484597,15953203852.6831,2,blue,blue,blue,3,2,2
squaw-valley-1960,Winter,1960,United States,Switzerland,CHE,41,German,Christian,Europe,5327776,10412232620.5258,2,red,red,red,2,0,0
squaw-valley-1960,Winter,1960,United States,United States,USA,NA,NA,NA,NA,180274554,541988586206.897,NA,NA,NA,NA,3,4,3
rome-1960,Summer,1960,Italy,Argentina,ARG,2777,Spanish,Christian,S.America,20386054,NA,2,blue,blue,blue,0,1,1
rome-1960,Summer,1960,Italy,Australia,AUS,7690,English,Christian,Oceania,10280815,18606562977.0501,3,blue,white,blue,8,8,6
rome-1960,Summer,1960,Italy,Austria,AUT,84,German,Christian,Europe,7047274,6650133914.54795,2,red,red,red,1,1,0
rome-1960,Summer,1960,Italy,Belgium,BEL,31,Other,Christian,Europe,9102170,11810619368.3874,3,gold,black,red,0,2,2
rome-1960,Summer,1960,Italy,Brazil,BRA,8512,Other,Christian,S.America,72388123,NA,4,green,green,green,0,0,2
rome-1960,Summer,1960,Italy,Bulgaria,BGR,111,Other,Other,Europe,7862933,NA,5,red,white,red,1,3,3
rome-1960,Summer,1960,Italy,Canada,CAN,9976,English,Christian,N.America,17898792,40563768946.9503,2,red,red,red,0,1,0
rome-1960,Summer,1960,Italy,Chinese Taipei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
rome-1960,Summer,1960,Italy,Czechoslovakia,NA,128,Other,Other,Europe,NA,NA,3,white,white,red,3,2,3
rome-1960,Summer,1960,Italy,Denmark,DNK,43,Other,Christian,Europe,4579349,6361166312.94752,2,red,red,red,2,3,1
rome-1960,Summer,1960,Italy,Ethiopia,ETH,1222,Other,Christian,Asia,21376688,1610511693.78543,3,green,green,red,1,0,0
rome-1960,Summer,1960,Italy,Finland,FIN,337,Other,Christian,Europe,4429631,5279011362.12721,2,white,white,white,1,1,3
rome-1960,Summer,1960,Italy,France,FRA,547,French,Christian,Europe,46428136,62225478000.8822,3,white,blue,red,0,2,3
rome-1960,Summer,1960,Italy,Germany,DEU,NA,NA,NA,NA,72811637,84310950194.1152,NA,NA,NA,NA,12,19,11
rome-1960,Summer,1960,Italy,Ghana,GHA,239,English,Other,Asia,6961216,1223943661.97183,4,red,red,green,0,1,0
rome-1960,Summer,1960,Italy,Greece,GRC,132,Other,Christian,Europe,8384481,4335191696.00585,2,blue,blue,blue,1,0,0
rome-1960,Summer,1960,Italy,Hungary,HUN,93,Other,Other,Europe,9983383,NA,3,red,red,green,6,8,7
rome-1960,Summer,1960,Italy,India,IND,3268,Other,Other,NA,435990344,37029883876.1839,4,orange,orange,green,0,1,0
rome-1960,Summer,1960,Italy,Iraq,IRQ,435,Arabic,Muslim,NA,7022057,1537252191.85976,4,red,red,black,0,0,1
rome-1960,Summer,1960,Italy,Islamic Republic of Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3
rome-1960,Summer,1960,Italy,Italy,ITA,301,Other,Christian,Europe,49514555,41915814947.7905,3,white,green,red,13,10,13
rome-1960,Summer,1960,Italy,Japan,JPN,372,Other,Other,NA,96399754,47419238274.4619,2,white,white,white,4,7,7
