Version,Class,Transmission,Fuel,Colour,RoadTaxPM,ServiceCostsPM,TyresPM,FuelCostPM,TotalCostPM,CostPKm,CostPY,APKExpiry,NrOwners,OwnerSince,PrivateLastOwner,DateNLRegistration,Imported,PriceNew,EngineCapacity,Power,TopSpeed,Turbo,AccelerationTime,FuelKmL,C02Emission,WeightEmpty,WeightMax,WeightBrakedTrailer,WeightTrailerNoBrakes,CurrentBid,TransmissionAuto,NrGears,AskingPrice,Mileage,DaysOwned,DaysAPK
1.4 TSI 90KW,Hatchback,NA,Benzine,Silver/Gray,52,47.38,7.88,114.65,221.91,0.18,2662.92,2015-07-31,2,2012-03-22,TRUE,2009-07-31,FALSE,23375,1.39,122,200,TRUE,9.4,16.13,144,1190,1820,1300,640,NA,NA,NA,10250,89877,813,413
2.0 TDI 81KW,Hatchback,Automatic 5 Gears,Diesel,Black,115.33,46.88,9.38,71.7,243.29,0.19,2919.48,2014-09-30,2,2014-03-20,TRUE,2013-06-06,TRUE,32345,1.968,110,193,FALSE,NA,20.41,128,1239,1870,1500,660,11000,TRUE,5,12500,80000,85,109
1.9 TDI 77KW VARIANT,Stationwagon,Manual 5 Gears,Diesel,Black,115.33,45.5,9.38,71.76,241.97,0.19,2903.64,2015-04-16,2,2011-06-21,TRUE,2011-05-10,TRUE,12374,1.896,105,189,TRUE,12.2,21.74,122,1332,1970,1400,710,NA,FALSE,5,8350,252000,1088,307
2.0 GTI 155KW,Hatchback,NA,Benzine,Black,60,60.38,28.75,134.99,284.12,0.23,3409.44,2015-03-18,4,2014-03-21,TRUE,2009-09-03,FALSE,36233,1.984,211,240,TRUE,6.9,13.7,170,1293,1870,1400,690,14600,NA,NA,16750,73000,84,278
2.0 TDI 81KW,Hatchback,Manual 5 Gears,Diesel,Black,115.33,45.5,9.38,81.12,251.33,0.2,3015.96,2014-12-12,4,2014-06-04,TRUE,2010-07-16,TRUE,25680,1.968,110,193,FALSE,NA,20.41,128,1239,1870,1500,660,NA,FALSE,5,9749,156478,9,182
1.4 TSI 118KW DSG,Hatchback,Automatic 7 Gears,Benzine,Silver/Gray,68.33,56.88,14.12,112,251.33,0.2,3015.96,2015-04-01,2,2011-11-18,TRUE,2009-04-01,FALSE,31705,1.39,161,220,TRUE,8.5,16.67,139,1261,1860,1400,680,NA,TRUE,7,12500,91450,938,292
1.4 TSI 118KW,Hatchback,NA,Benzine,Black,68.33,56.88,14,118.35,257.56,0.21,3090.72,2015-05-25,2,2013-03-30,TRUE,2009-05-25,FALSE,29295,1.39,161,220,TRUE,8,15.87,145,1246,1840,1400,670,10500,NA,NA,12500,NA,440,346
1.4 TSI 90KW,Hatchback,NA,Benzine,White,52,47.38,7.88,114.65,221.91,0.18,2662.92,2015-04-02,3,2014-03-22,TRUE,2009-04-02,FALSE,22844,1.39,122,200,TRUE,9.4,16.13,144,1190,1820,1300,640,11100,NA,NA,12995,53000,83,293
1.4 TSI 90KW,Hatchback,Manual 6 Gears,Benzine,Silver/Gray,52,47.38,7.88,114.65,221.91,0.18,2662.92,2015-03-12,2,2013-10-24,TRUE,2009-03-12,FALSE,30279,1.39,122,200,TRUE,9.4,16.13,144,1190,1820,1300,640,10500,FALSE,6,13995,22625,232,272
1.4 TSI 90KW,Hatchback,Manual 6 Gears,Benzine,Blue,60,50.63,11.25,116.5,238.38,0.19,2860.56,2016-02-03,1,2013-01-08,TRUE,2013-01-08,TRUE,28230,1.39,122,200,TRUE,9.4,16.13,144,1190,1820,1300,640,6700,FALSE,6,14750,39500,521,600
2.0 GTI 155KW DSG,Hatchback,Automatic 6 Gears,Benzine,Black,60,64.25,28.25,136.84,289.33,0.23,3472.08,2015-05-01,5,2013-07-18,TRUE,2010-04-28,TRUE,35525,1.984,211,238,TRUE,6.9,13.51,173,1314,1890,1400,700,NA,TRUE,6,17999,115456,330,322
